price,bedrooms,bathrooms,accommodates,parking_spaces,square_meters,pool,garden,security,pet_friendly,near_beach,location_score,property_age,description_length,num_photos,has_agency,property_type_id
290000.0,1,1,3,0.0,666.0,0,0,0,0,1,8,10,291,8,1,8
350000.0,1,1,3,0.0,595.0,0,0,0,0,0,7,10,778,8,1,8
360000.0,1,1,3,0.0,350.0,1,0,0,0,1,9,10,520,10,1,8
365000.0,1,1,3,0.0,0.0,0,0,0,0,1,9,10,699,7,1,8
375000.0,1,1,3,0.0,0.0,1,0,0,0,1,9,10,694,13,1,8
400000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,817,19,1,8
450000.0,1,1,3,0.0,458.0,0,0,0,0,0,7,10,649,4,1,8
450000.0,1,1,3,0.0,0.0,1,0,0,0,1,7,10,304,8,1,8
475000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,652,4,1,8
480000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1269,15,1,8
496000.0,1,1,3,0.0,512.0,0,0,1,0,0,7,10,1306,7,1,8
530000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,635,5,1,8
535000.0,1,1,3,0.0,600.0,0,0,0,0,1,7,10,2078,12,1,8
535000.0,1,1,3,0.0,0.0,1,0,0,0,1,7,10,1210,4,1,8
535000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1007,10,1,8
545000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,410,13,1,8
546000.0,1,1,3,0.0,601.0,0,0,0,0,1,7,10,873,8,1,8
580000.0,1,1,3,0.0,1278.0,0,0,0,0,0,7,10,984,13,1,8
580000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,409,6,1,8
585000.0,1,1,3,0.0,990.0,0,0,0,0,1,7,10,318,6,1,8
640000.0,1,1,3,0.0,880.0,0,1,0,0,1,8,10,1273,14,1,8
640000.0,1,1,3,0.0,0.0,0,1,0,0,1,8,10,1974,13,1,8
650000.0,1,1,3,0.0,829.0,0,0,0,0,0,7,10,770,13,1,8
650000.0,1,1,3,0.0,818.0,0,0,0,0,1,7,10,1271,13,1,8
695000.0,1,1,3,0.0,0.0,0,0,0,0,1,9,10,837,6,1,8
715000.0,1,1,3,1.0,0.0,0,1,1,1,0,7,10,798,12,1,5
750000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1334,14,1,8
750000.0,1,1,3,0.0,0.0,0,0,1,0,1,7,10,751,6,1,8
750000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,790,7,1,8
790000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1447,11,1,8
799000.0,1,1,3,0.0,880.0,0,1,0,0,1,8,10,1789,7,1,8
800000.0,2,1,5,1.0,0.0,0,0,0,1,1,7,10,871,19,1,4
825000.0,1,1,3,0.0,600.0,0,0,0,0,1,7,10,1155,19,1,8
830000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1259,9,1,8
850000.0,2,1,5,1.0,0.0,0,1,0,1,1,7,10,704,17,1,5
850000.0,1,1,3,0.0,0.0,0,0,0,0,1,9,10,347,12,1,8
899000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,728,8,1,8
899000.0,3,1,7,3.0,0.0,0,0,0,1,0,7,10,562,14,1,4
995000.0,1,1,3,0.0,600.0,0,0,0,0,1,7,10,1203,9,1,8
1000000.0,1,1,3,0.0,654.0,0,0,1,0,1,7,10,1454,7,1,8
1070000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1645,33,1,8
1075000.0,2,1,5,1.0,0.0,0,0,1,1,0,7,10,690,9,1,5
1095000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,1411,15,1,8
1100000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1260,14,1,8
1100000.0,1,1,3,0.0,891.0,0,0,1,0,1,8,10,1631,19,1,8
1150000.0,1,1,3,2.0,0.0,0,1,0,1,0,7,10,1011,14,1,5
1180000.0,2,2,5,1.0,0.0,0,1,0,0,1,7,10,409,12,1,5
1180000.0,2,2,5,1.0,0.0,0,0,0,0,1,7,10,1897,30,1,5
1200000.0,1,1,3,0.0,1457.0,0,1,0,0,1,8,10,1435,10,1,8
1200000.0,2,1,5,1.0,0.0,1,1,0,0,1,9,10,833,21,1,5
1200000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,650,14,1,8
1250000.0,2,2,5,4.0,0.0,0,0,0,1,0,7,10,526,13,1,4
1295000.0,1,1,3,0.0,0.0,1,0,0,0,1,7,10,770,4,1,8
1299999.0,3,3,7,6.0,0.0,0,0,0,1,1,9,10,897,17,1,4
1350000.0,4,3,9,7.0,161.0,0,1,1,1,1,8,10,1793,29,1,4
1350000.0,1,1,3,0.0,502.0,0,0,0,0,1,7,10,956,15,1,8
1395000.0,4,1,9,4.0,0.0,1,1,0,1,0,7,10,814,23,1,4
1400000.0,1,1,3,0.0,1339.0,0,1,0,0,1,8,10,2007,6,1,8
1490000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,1075,26,1,10
1495000.0,3,2,7,8.0,170.0,1,1,0,1,1,7,10,2984,27,1,4
1499000.0,2,1,5,0.0,0.0,0,1,0,1,1,7,10,612,18,1,4
1499000.0,2,1,5,1.0,99.0,0,0,0,1,0,7,10,955,18,1,4
1557000.0,2,1,5,3.0,0.0,0,1,0,1,0,7,10,2129,21,1,4
1590000.0,1,1,3,0.0,520.0,1,0,0,0,1,7,10,583,11,1,8
1600000.0,1,1,3,0.0,0.0,1,0,0,0,1,7,10,1165,14,1,8
1600000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,1038,15,1,8
1600000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,844,18,1,8
1650000.0,1,1,3,0.0,0.0,0,0,0,0,1,9,10,383,13,1,8
1650000.0,1,1,3,0.0,0.0,0,1,0,0,1,7,10,719,10,1,8
1650000.0,2,1,5,0.0,0.0,0,0,1,0,1,9,10,1706,19,1,5
1650000.0,1,1,3,1.0,0.0,0,1,0,0,0,7,10,1569,11,1,5
1650000.0,2,1,5,2.0,0.0,0,1,0,1,1,7,10,1296,24,1,4
1690000.0,4,2,9,2.0,0.0,1,1,1,1,1,7,10,1201,33,1,4
1695000.0,3,2,7,8.0,972.0,0,1,1,1,1,7,10,1847,19,1,4
1695000.0,2,1,5,2.0,0.0,0,0,1,1,1,7,10,1786,34,1,4
1695000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,552,17,1,8
1750000.0,3,2,7,1.0,0.0,0,0,0,1,1,7,10,1033,29,1,5
1750000.0,1,1,3,0.0,773.0,0,0,0,0,1,7,10,1533,10,1,8
1750000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1248,23,1,8
1795000.0,3,1,7,2.0,0.0,0,1,0,1,1,7,10,1186,22,1,4
1795000.0,3,2,7,3.0,0.0,1,1,0,1,0,7,10,1497,23,1,4
1795000.0,4,2,9,4.0,0.0,0,1,0,1,1,7,10,762,22,1,4
1800000.0,3,2,7,7.0,0.0,0,1,1,1,1,7,10,1721,46,1,4
1850000.0,2,2,5,5.0,0.0,0,1,1,1,0,7,10,1236,44,1,4
1870000.0,1,1,3,0.0,0.0,0,0,0,0,1,9,10,1191,12,1,8
1885000.0,3,3,7,4.0,0.0,1,1,0,1,1,7,10,923,19,1,4
1890000.0,1,1,3,0.0,0.0,0,0,0,0,1,8,10,1157,14,1,8
