price,bedrooms,bathrooms,accommodates,parking_spaces,square_meters,pool,garden,security,pet_friendly,near_beach,location_score,property_age,description_length,num_photos,has_agency,property_type_id,suburb,city,listing_number,listing_url
290000.0,1,1,3,0.0,666.0,0,0,0,0,1,8,10,291,8,1,8,Stanford,Stanford,P24-116840657,https://www.property24.com/for-sale/stanford/stanford/western-cape/7858/116840657
350000.0,1,1,3,0.0,595.0,0,0,0,0,0,7,10,778,8,1,8,Bot River Avenues,Bot River,P24-116811250,https://www.property24.com/for-sale/bot-river-avenues/bot-river/western-cape/33592/116811250
360000.0,1,1,3,0.0,350.0,1,0,0,0,1,9,10,520,10,1,8,Hawston,Hermanus,P24-116812559,https://www.property24.com/for-sale/hawston/hermanus/western-cape/7854/116812559
365000.0,1,1,3,0.0,0.0,0,0,0,0,1,9,10,699,7,1,8,Hawston,Hermanus,P24-115970400,https://www.property24.com/for-sale/hawston/hermanus/western-cape/7854/115970400
375000.0,1,1,3,0.0,0.0,1,0,0,0,1,9,10,694,13,1,8,Hawston,Hermanus,P24-116839859,https://www.property24.com/for-sale/hawston/hermanus/western-cape/7854/116839859
400000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,817,19,1,8,Napier,Napier,P24-116782977,https://www.property24.com/for-sale/napier/napier/western-cape/7877/116782977
450000.0,1,1,3,0.0,458.0,0,0,0,0,0,7,10,649,4,1,8,Riviersonderend,Riviersonderend,P24-116817993,https://www.property24.com/for-sale/riviersonderend/riviersonderend/western-cape/7876/116817993
450000.0,1,1,3,0.0,0.0,1,0,0,0,1,7,10,304,8,1,8,Franskraal,Gansbaai,P24-115031435,https://www.property24.com/for-sale/franskraal/gansbaai/western-cape/7863/115031435
475000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,652,4,1,8,Bot River,Bot River,P24-116484137,https://www.property24.com/for-sale/bot-river/bot-river/western-cape/10872/116484137
480000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1269,15,1,8,Bot River,Bot River,P24-116766367,https://www.property24.com/for-sale/bot-river/bot-river/western-cape/10872/116766367
496000.0,1,1,3,0.0,512.0,0,0,1,0,0,7,10,1306,7,1,8,Bredasdorp,Bredasdorp,P24-116603087,https://www.property24.com/for-sale/bredasdorp/bredasdorp/western-cape/7882/116603087
530000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,635,5,1,8,Kleinbaai,Gansbaai,P24-116168973,https://www.property24.com/for-sale/kleinbaai/gansbaai/western-cape/7865/116168973
535000.0,1,1,3,0.0,600.0,0,0,0,0,1,7,10,2078,12,1,8,Kleinbaai,Gansbaai,P24-116839196,https://www.property24.com/for-sale/kleinbaai/gansbaai/western-cape/7865/116839196
535000.0,1,1,3,0.0,0.0,1,0,0,0,1,7,10,1210,4,1,8,Kleinbaai,Gansbaai,P24-116826293,https://www.property24.com/for-sale/kleinbaai/gansbaai/western-cape/7865/116826293
535000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1007,10,1,8,Kleinbaai,Gansbaai,P24-116839659,https://www.property24.com/for-sale/kleinbaai/gansbaai/western-cape/7865/116839659
545000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,410,13,1,8,Kleinbaai,Gansbaai,P24-111355679,https://www.property24.com/for-sale/kleinbaai/gansbaai/western-cape/7865/111355679
546000.0,1,1,3,0.0,601.0,0,0,0,0,1,7,10,873,8,1,8,Kleinbaai,Gansbaai,P24-116285276,https://www.property24.com/for-sale/kleinbaai/gansbaai/western-cape/7865/116285276
580000.0,1,1,3,0.0,1278.0,0,0,0,0,0,7,10,984,13,1,8,Caledon,Caledon,P24-116840040,https://www.property24.com/for-sale/caledon/caledon/western-cape/7873/116840040
580000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,409,6,1,8,Caledon,Caledon,P24-116835987,https://www.property24.com/for-sale/caledon/caledon/western-cape/7873/116835987
585000.0,1,1,3,0.0,990.0,0,0,0,0,1,7,10,318,6,1,8,Franskraal,Gansbaai,P24-116840736,https://www.property24.com/for-sale/franskraal/gansbaai/western-cape/7863/116840736
640000.0,1,1,3,0.0,880.0,0,1,0,0,1,8,10,1273,14,1,8,Bettys Bay,Bettys Bay,P24-116841013,https://www.property24.com/for-sale/bettys-bay/bettys-bay/western-cape/7823/116841013
640000.0,1,1,3,0.0,0.0,0,1,0,0,1,8,10,1974,13,1,8,Bettys Bay,Bettys Bay,P24-116755807,https://www.property24.com/for-sale/bettys-bay/bettys-bay/western-cape/7823/116755807
650000.0,1,1,3,0.0,829.0,0,0,0,0,0,7,10,770,13,1,8,Napier,Napier,P24-113033267,https://www.property24.com/for-sale/napier/napier/western-cape/7877/113033267
